染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
烯丙基醚化淀粉		{'allyl etherified starch':1.0}	{'allyl etherified starch': 0}	allyl etherified starch
烷基多糖苷		{'alkylpolyglucosides':1.0}	{'alkylpolyglucosides': 6}	alkylpolyglucosides
海藻酸铜纤维		{'copper alginate fiber':1.0}	{'copper alginate fiber': 0}	copper alginate fiber
封闭型聚氨酯		{'blocked polyurethane':1.0}	{'blocked polyurethane': 0}	blocked polyurethane
“常州三杰”		{'“three heroes of changzhou”':1.0}	{'“three heroes of changzhou”': 0}	“three heroes of changzhou”
空气整理		{'air finishing':1.0}	{'air finishing': 0}	air finishing
气溶胶流量		{'aerosol flow rate':1.0}	{'aerosol flow rate': 0}	aerosol flow rate
黏连纤维		{'overlapped fiber':1.0}	{'overlapped fiber': 0}	overlapped fiber
竹衣		{'bamboo coat':1.0}	{'bamboo coat': 0}	bamboo coat
AdaBoost算法		{'adaboost algorithm':1.0}	{'adaboost algorithm': 0}	adaboost algorithm
主动轮廓模型		{'active contour model':1.0}	{'active contour model': 0}	active contour model
丙烯腈-偏氯乙烯共聚体		{'an-vdc copolymer':1.0}	{'an-vdc copolymer': 0}	an-vdc copolymer
酸性红37		{'acid red 37':1.0}	{'acid red 37': 0}	acid red 37
托腹效果		{'abdominal effect':1.0}	{'abdominal effect': 0}	abdominal effect
A*算法		{'a* algorithm':1.0}	{'a* algorithm': 0}	a* algorithm
送风口结构		{'air outlet structure':1.0}	{'air outlet structure': 0}	air outlet structure
立体感面料	{'立体织物':0.43478,'三维织物':0.34783,'三维机织物':0.13043,'立体感面料':0.08696}	{'three-dimensional fabric':1.0}	{'three-dimensional fabric': 6}	three-dimensional fabric
3D元素		{'3d elements':1.0}	{'3d elements': 0}	3d elements
3D数字技术		{'3d digital technology':1.0}	{'3d digital technology': 0}	3d digital technology
3D生物打印		{'3d bioprinting':1.0}	{'3d bioprinting': 50}	3d bioprinting
2,4-二硝基甲苯		{'2,4-dinitrotoluene':1.0}	{'2,4-dinitrotoluene': 4}	2,4-dinitrotoluene
云监控		{'cloud monitoring':1.0}	{'cloud monitoring': 0}	cloud monitoring
胶水绒	{'胶水羽绒':0.6,'胶水绒':0.4}	{'glue down':1.0}	{'glue down': 0}	glue down
交织增强体		{'interwoven reinforcement':1.0}	{'interwoven reinforcement': 0}	interwoven reinforcement
六连杆机构		{'six-bar mechanism':1.0}	{'six-bar mechanism': 0}	six-bar mechanism
割绒纳绣		{'cutting pile embroidery':1.0}	{'cutting pile embroidery': 0}	cutting pile embroidery
4,4’-二氨基二苯甲烷		{"4,4'-diaminodiphenylmethane":1.0}	{"4,4'-diaminodiphenylmethane": 0}	4,4'-diaminodiphenylmethane
Taly纤维		{'taly fiber':1.0}	{'taly fiber': 0}	taly fiber
社会网络分析		{'social network analysis':1.0}	{'social network analysis': 4}	social network analysis
Polynosic纤维		{'polynosic fiber':1.0}	{'polynosic fiber': 0}	polynosic fiber
休闲西服		{'leisure suit':1.0}	{'leisure suit': 0}	leisure suit
压出加重率		{'extrusion weighting percentage':1.0}	{'extrusion weighting percentage': 0}	extrusion weighting percentage
纬长丝织物		{'weft filament fabric':1.0}	{'weft filament fabric': 0}	weft filament fabric
三蓝绣		{'three-blue embroidery':1.0}	{'three-blue embroidery': 0}	three-blue embroidery
SSD网络		{'ssd network':1.0}	{'ssd network': 0}	ssd network
光斑扩散		{'facula diffusion':1.0}	{'facula diffusion': 0}	facula diffusion
PHA纤维		{'pha fiber':1.0}	{'pha fiber': 0}	pha fiber
互动技术	{'交互技术':0.71429,'互动技术':0.28571}	{'interactive technology':1.0}	{'interactive technology': 5}	interactive technology
羟丙基壳聚糖		{'hydroxypropyl chitosan':1.0}	{'hydroxypropyl chitosan': 4}	hydroxypropyl chitosan
贪心算法		{'greedy algorithm':1.0}	{'greedy algorithm': 0}	greedy algorithm
分维数	{'分形维数':0.84615,'分维数':0.15385}	{'fractal dimension':1.0}	{'fractal dimension': 226}	fractal dimension
动态透气性		{'dynamic permeability':1.0}	{'dynamic permeability': 3}	dynamic permeability
染色机械	{'染色机':0.84616,'染色机械':0.07692,'染色设备':0.07692}	{'dyeing machine':1.0}	{'dyeing machine': 26}	dyeing machine
溴氰菊酯		{'deltamethrin':1.0}	{'deltamethrin': 4}	deltamethrin
情侣装		{"lovers' clothes":1.0}	{"lovers' clothes": 0}	lovers' clothes
童装毛衫		{"children's sweater":1.0}	{"children's sweater": 0}	children's sweater
仙人掌		{'cactus':1.0}	{'cactus': 28}	cactus
青花纹样		{'blue and white pattern':1.0}	{'blue and white pattern': 0}	blue and white pattern
调整型文胸		{'adjustable bra':1.0}	{'adjustable bra': 0}	adjustable bra
动物实验		{'animal experiment':1.0}	{'animal experiment': 81}	animal experiment
英制支数		{'english count':1.0}	{'english count': 0}	english count
西江苗族刺绣		{'xijiang miao embroidery':1.0}	{'xijiang miao embroidery': 0}	xijiang miao embroidery
女士羽绒服		{'women′s down jacket':1.0}	{'women′s down jacket': 0}	women′s down jacket
无线局域网		{'wlan':1.0}	{'wlan': 0}	wlan
西方传统服装		{'western traditional costume':1.0}	{'western traditional costume': 0}	western traditional costume
纬弹面料	{'纬弹织物':0.66667,'纬弹面料':0.33333}	{'weft elastic fabric':1.0}	{'weft elastic fabric': 0}	weft elastic fabric
波浪结构		{'wave structure':1.0}	{'wave structure': 0}	wave structure
虚拟博物馆		{'virtual museum':1.0}	{'virtual museum': 0}	virtual museum
捻因数		{'twist factor':1.0}	{'twist factor': 23}	twist factor
三维温度场		{'3-d distribution of temperature':1.0}	{'3-d distribution of temperature': 0}	3-d distribution of temperature
《良友》画报		{'the young companion':1.0}	{'the young companion': 0}	the young companion
纺织材料与检测		{'textile materials and testing':1.0}	{'textile materials and testing': 0}	textile materials and testing
扫频		{'sweep frequency':1.0}	{'sweep frequency': 0}	sweep frequency
蒸汽爆破	{'蒸汽闪爆':0.5,'闪爆':0.25,'蒸汽爆破':0.25}	{'steam explosion':1.0}	{'steam explosion': 163}	steam explosion
皮肤血流量		{'skin blood flow':1.0}	{'skin blood flow': 9}	skin blood flow
短纤指数	{'短纤维指数':0.6,'短纤指数':0.4}	{'short fiber index':1.0}	{'short fiber index': 0}	short fiber index
形状记忆合金弹簧		{'shape memory alloy spring':1.0}	{'shape memory alloy spring': 0}	shape memory alloy spring
粗纱断头		{'roving breakage':1.0}	{'roving breakage': 0}	roving breakage
子午线轮胎		{'radial tire':1.0}	{'radial tire': 0}	radial tire
制板原型		{'plate-making prototype':1.0}	{'plate-making prototype': 0}	plate-making prototype
泊洛沙姆		{'poloxamer':1.0}	{'poloxamer': 131}	poloxamer
图式语言		{'schema language':1.0}	{'schema language': 0}	schema language
原配色丝		{'collocation coloured yarn':1.0}	{'collocation coloured yarn': 0}	collocation coloured yarn
音乐教学		{'music teaching':1.0}	{'music teaching': 0}	music teaching
多尺度融合		{'multi-scale fusion':1.0}	{'multi-scale fusion': 0}	multi-scale fusion
多任务学习		{'multi-task learning':1.0}	{'multi-task learning': 0}	multi-task learning
数学思维		{'mathematical thinking':1.0}	{'mathematical thinking': 0}	mathematical thinking
丽赛织物		{'richcel fabric':1.0}	{'richcel fabric': 0}	richcel fabric
JK制服		{'jk uniform':1.0}	{'jk uniform': 0}	jk uniform
互文性		{'intertextuality':1.0}	{'intertextuality': 0}	intertextuality
内模控制		{'internal model control':1.0}	{'internal model control': 0}	internal model control
嵌花技术		{'intarsia technology':1.0}	{'intarsia technology': 0}	intarsia technology
婴幼儿睡袋		{'infant sleeping bag':1.0}	{'infant sleeping bag': 0}	infant sleeping bag
全息投影技术		{'holographic projection technology':1.0}	{'holographic projection technology': 0}	holographic projection technology
护发素		{'hair conditioner':1.0}	{'hair conditioner': 0}	hair conditioner
绿色金融		{'green finance':1.0}	{'green finance': 0}	green finance
重力平衡		{'gravity balance':1.0}	{'gravity balance': 0}	gravity balance
明胶改性		{'gelatin modification':1.0}	{'gelatin modification': 0}	gelatin modification
含气量		{'air content':1.0}	{'air content': 5}	air content
褪色剂		{'fading agent':1.0}	{'fading agent': 0}	fading agent
EKS纤维		{'eks fiber':1.0}	{'eks fiber': 0}	eks fiber
喷射器		{'ejector':1.0}	{'ejector': 3}	ejector
边部设计		{'edge design':1.0}	{'edge design': 0}	edge design
干燥曲线		{'drying curve':1.0}	{'drying curve': 3}	drying curve
话剧服装	{'戏剧服饰':0.66667,'话剧服装':0.33333}	{'drama costume':1.0}	{'drama costume': 0}	drama costume
分散橙149		{'disperse orange 149':1.0}	{'disperse orange 149': 0}	disperse orange 149
数字滤波器	{'数字滤波器':0.5,'数字滤波':0.5}	{'digital filter':1.0}	{'digital filter': 0}	digital filter
设计启示	{'设计灵感':0.66667,'设计启示':0.33333}	{'design inspiration':1.0}	{'design inspiration': 0}	design inspiration
压缩木		{'compressed wood':1.0}	{'compressed wood': 4}	compressed wood
温敏高分子		{'thermo-responsive polymer':1.0}	{'thermo-responsive polymer': 11}	thermo-responsive polymer
立构复合聚乳酸纤维		{'stereo-complexed polylactide fiber':1.0}	{'stereo-complexed polylactide fiber': 0}	stereo-complexed polylactide fiber
步进驱动器		{'stepper drive':1.0}	{'stepper drive': 0}	stepper drive
椰炭改性涤纶纤维		{'coconut charcoal modified polyester fiber':1.0}	{'coconut charcoal modified polyester fiber': 0}	coconut charcoal modified polyester fiber
云技术		{'cloud technology':1.0}	{'cloud technology': 0}	cloud technology
回复规律		{'recovery regular pattern':1.0}	{'recovery regular pattern': 0}	recovery regular pattern
聚氯乙烯(PVC)		{'polyvinyl chloride(pvc)':1.0}	{'polyvinyl chloride(pvc)': 0}	polyvinyl chloride(pvc)
裁剪路径		{'cutting path':1.0}	{'cutting path': 0}	cutting path
胆甾相液晶		{'cholesteric liquid crystal':1.0}	{'cholesteric liquid crystal': 28}	cholesteric liquid crystal
CFD数值模拟		{'cfd numerical simulation':1.0}	{'cfd numerical simulation': 0}	cfd numerical simulation
阳离子乳液		{'cationic emulsion':1.0}	{'cationic emulsion': 0}	cationic emulsion
贝叶斯决策		{'bayes decision':1.0}	{'bayes decision': 0}	bayes decision
自动化装配		{'automatic assembly':1.0}	{'automatic assembly': 0}	automatic assembly
属性约简		{'attribute reduction':1.0}	{'attribute reduction': 0}	attribute reduction
花筘		{'fancy reed':1.0}	{'fancy reed': 0}	fancy reed
抗电磁干扰		{'anti electromagnetic interference':1.0}	{'anti electromagnetic interference': 0}	anti electromagnetic interference
气流指数		{'air index':1.0}	{'air index': 0}	air index
4-硝基苯酚		{'4-nitrophenol':1.0}	{'4-nitrophenol': 179}	4-nitrophenol
腈纶膨体条		{'acrylic bulky sliver':1.0}	{'acrylic bulky sliver': 0}	acrylic bulky sliver
空气净化器		{'air purifier':1.0}	{'air purifier': 0}	air purifier
老粗布		{'old coarse cloth':1.0}	{'old coarse cloth': 0}	old coarse cloth
配位体		{'ligand':1.0}	{'ligand': 228}	ligand
功能鞋		{'functional shoes':1.0}	{'functional shoes': 0}	functional shoes
偶氮二甲酰胺		{'azodicarbonamide':1.0}	{'azodicarbonamide': 6}	azodicarbonamide
棉酚		{'gossypol':1.0}	{'gossypol': 5}	gossypol
气流拉伸		{'air drawing':1.0}	{'air drawing': 6}	air drawing
液氨染色		{'liquid ammonia dyeing':1.0}	{'liquid ammonia dyeing': 3}	liquid ammonia dyeing
揿针器		{'down-picker':1.0}	{'down-picker': 0}	down-picker
动物胶		{'animal glue':1.0}	{'animal glue': 0}	animal glue
细平布		{'fine plain':1.0}	{'fine plain': 0}	fine plain
扎丽纱		{'zari thread':1.0}	{'zari thread': 0}	zari thread
纱线电极		{'yarn electrode':1.0}	{'yarn electrode': 0}	yarn electrode
纱体图		{'yarn body figure':1.0}	{'yarn body figure': 0}	yarn body figure
新疆彩棉		{'xinjiang colored cotton':1.0}	{'xinjiang colored cotton': 0}	xinjiang colored cotton
折皱效果		{'wrinkle effect':1.0}	{'wrinkle effect': 0}	wrinkle effect
木模印花布		{'wooden prints':1.0}	{'wooden prints': 0}	wooden prints
焊接防护服	{'电焊防护服':0.5,'焊接防护服':0.5}	{'welding protective clothing':1.0}	{'welding protective clothing': 0}	welding protective clothing
编织装置	{'成圈机构':0.5,'编织装置':0.5}	{'knitting device':1.0}	{'knitting device': 0}	knitting device
词汇特点		{'lexical features':1.0}	{'lexical features': 0}	lexical features
视景仿真		{'scene simulation':1.0}	{'scene simulation': 0}	scene simulation
可视化仿真		{'visualization simulation':1.0}	{'visualization simulation': 0}	visualization simulation
Vectran纤维		{'vectran fiber':1.0}	{'vectran fiber': 0}	vectran fiber
超高效聚合物色谱		{'advanced polymer chromatography':1.0}	{'advanced polymer chromatography': 0}	advanced polymer chromatography
Truetime工具箱		{'truetime toolbox':1.0}	{'truetime toolbox': 0}	truetime toolbox
三氯醋酸		{'trichloroacetic acid':1.0}	{'trichloroacetic acid': 33}	trichloroacetic acid
总热损失		{'total heat loss':1.0}	{'total heat loss': 6}	total heat loss
时间槽		{'time slot':1.0}	{'time slot': 0}	time slot
三点弯曲试验		{'three-point bending test':1.0}	{'three-point bending test': 46}	three-point bending test
大腿截面		{'leg cross section':1.0}	{'leg cross section': 0}	leg cross section
热敏变色纺织品		{'thermochromic textiles':1.0}	{'thermochromic textiles': 0}	thermochromic textiles
纺织铺地物		{'textile floor covering':1.0}	{'textile floor covering': 0}	textile floor covering
太极石纤维		{'tai chi stone fiber':1.0}	{'tai chi stone fiber': 0}	tai chi stone fiber
跆拳道服装		{'taekwondo apparel':1.0}	{'taekwondo apparel': 0}	taekwondo apparel
摆频控制		{'swing frequency control':1.0}	{'swing frequency control': 0}	swing frequency control
悬浮生物滤池		{'suspended biological filter':1.0}	{'suspended biological filter': 0}	suspended biological filter
表面污渍		{'surface stains':1.0}	{'surface stains': 0}	surface stains
支撑液膜		{'supported liquid membrane':1.0}	{'supported liquid membrane': 149}	supported liquid membrane
超柔纺		{'super soft spinning':1.0}	{'super soft spinning': 0}	super soft spinning
主客观测评	{'主客观评价':0.75,'主客观测评':0.25}	{'subjective and objective evaluation':1.0}	{'subjective and objective evaluation': 0}	subjective and objective evaluation
随机控制		{'stochastic control':1.0}	{'stochastic control': 0}	stochastic control
STM32处理器		{'stm32 processor':1.0}	{'stm32 processor': 0}	stm32 processor
硬脂酸聚氧乙烯酯		{'polyoxyethylene stearate':1.0}	{'polyoxyethylene stearate': 0}	polyoxyethylene stearate
水蒸气活化		{'steam activation':1.0}	{'steam activation': 21}	steam activation
角鲨烷		{'squalane':1.0}	{'squalane': 0}	squalane
运动元素		{'motion elements':1.0}	{'motion elements': 0}	motion elements
分离式霍普金森压杆	{'分离式Hopkinson压杆':0.5,'分离式霍普金森压杆':0.5}	{'split hopkinson pressure bar':1.0}	{'split hopkinson pressure bar': 0}	split hopkinson pressure bar
螺旋理论		{'screw theory':1.0}	{'screw theory': 0}	screw theory
速度不匀率		{'velocity irregularity':1.0}	{'velocity irregularity': 0}	velocity irregularity
空间四杆引纬机构		{'spatial four bar linkage weft insertion mechanism':1.0}	{'spatial four bar linkage weft insertion mechanism': 0}	spatial four bar linkage weft insertion mechanism
稀疏编码		{'sparse coding':1.0}	{'sparse coding': 5}	sparse coding
无溶剂聚氨酯		{'solvent-free polyurethane':1.0}	{'solvent-free polyurethane': 0}	solvent-free polyurethane
锡酸钠		{'sodium stannate':1.0}	{'sodium stannate': 4}	sodium stannate
社会风险		{'social risk':1.0}	{'social risk': 0}	social risk
社会记忆		{'social memory':1.0}	{'social memory': 0}	social memory
